Series ID,Year,Period,Label,Value
EIUCOINDUSZ3344,2019,M01,2019 Jan,95.5
EIUCOINDUSZ3344,2019,M02,2019 Feb,96.1
EIUCOINDUSZ3344,2019,M03,2019 Mar,96.0
EIUCOINDUSZ3344,2019,M04,2019 Apr,95.5
EIUCOINDUSZ3344,2019,M05,2019 May,95.4
EIUCOINDUSZ3344,2019,M06,2019 Jun,95.3
EIUCOINDUSZ3344,2019,M07,2019 Jul,95.7
EIUCOINDUSZ3344,2019,M08,2019 Aug,95.6
EIUCOINDUSZ3344,2019,M09,2019 Sep,95.6
EIUCOINDUSZ3344,2019,M10,2019 Oct,95.7
EIUCOINDUSZ3344,2019,M11,2019 Nov,96.3
EIUCOINDUSZ3344,2019,M12,2019 Dec,96.2
EIUCOINDUSZ3344,2020,M01,2020 Jan,96.0
EIUCOINDUSZ3344,2020,M02,2020 Feb,96.0
EIUCOINDUSZ3344,2020,M03,2020 Mar,95.9
EIUCOINDUSZ3344,2020,M04,2020 Apr,95.7
EIUCOINDUSZ3344,2020,M05,2020 May,95.3
EIUCOINDUSZ3344,2020,M06,2020 Jun,98.6
EIUCOINDUSZ3344,2020,M07,2020 Jul,98.5
EIUCOINDUSZ3344,2020,M08,2020 Aug,98.7
EIUCOINDUSZ3344,2020,M09,2020 Sep,98.5
EIUCOINDUSZ3344,2020,M10,2020 Oct,98.9
EIUCOINDUSZ3344,2020,M11,2020 Nov,98.5
EIUCOINDUSZ3344,2020,M12,2020 Dec,98.1
EIUCOINDUSZ3344,2021,M01,2021 Jan,98.1
EIUCOINDUSZ3344,2021,M02,2021 Feb,98.2
EIUCOINDUSZ3344,2021,M03,2021 Mar,98.4
EIUCOINDUSZ3344,2021,M04,2021 Apr,98.6
EIUCOINDUSZ3344,2021,M05,2021 May,98.6
EIUCOINDUSZ3344,2021,M06,2021 Jun,98.8
EIUCOINDUSZ3344,2021,M07,2021 Jul,99.3
EIUCOINDUSZ3344,2021,M08,2021 Aug,99.3
EIUCOINDUSZ3344,2021,M09,2021 Sep,99.4
EIUCOINDUSZ3344,2021,M10,2021 Oct,99.3
EIUCOINDUSZ3344,2021,M11,2021 Nov,99.7
EIUCOINDUSZ3344,2021,M12,2021 Dec,100.4
EIUCOINDUSZ3344,2022,M01,2022 Jan,102.9
EIUCOINDUSZ3344,2022,M02,2022 Feb,103.8
EIUCOINDUSZ3344,2022,M03,2022 Mar,104.9
EIUCOINDUSZ3344,2022,M04,2022 Apr,106.1
EIUCOINDUSZ3344,2022,M05,2022 May,106.2
EIUCOINDUSZ3344,2022,M06,2022 Jun,105.8
EIUCOINDUSZ3344,2022,M07,2022 Jul,105.7
EIUCOINDUSZ3344,2022,M08,2022 Aug,106.2
EIUCOINDUSZ3344,2022,M09,2022 Sep,107.1
EIUCOINDUSZ3344,2022,M10,2022 Oct,107.1
EIUCOINDUSZ3344,2022,M11,2022 Nov,107.0
EIUCOINDUSZ3344,2022,M12,2022 Dec,107.1
EIUCOINDUSZ3344,2023,M01,2023 Jan,106.0
EIUCOINDUSZ3344,2023,M02,2023 Feb,105.9
EIUCOINDUSZ3344,2023,M03,2023 Mar,104.5
EIUCOINDUSZ3344,2023,M04,2023 Apr,104.1
EIUCOINDUSZ3344,2023,M05,2023 May,104.2
EIUCOINDUSZ3344,2023,M06,2023 Jun,104.8
EIUCOINDUSZ3344,2023,M07,2023 Jul,104.4
EIUCOINDUSZ3344,2023,M08,2023 Aug,104.6
EIUCOINDUSZ3344,2023,M09,2023 Sep,104.9
EIUCOINDUSZ3344,2023,M10,2023 Oct,104.7
EIUCOINDUSZ3344,2023,M11,2023 Nov,104.7
EIUCOINDUSZ3344,2023,M12,2023 Dec,104.4
